category,url,filename
Semantic matching models,https://arxiv.org/pdf/1901.09590,model_type_pdfs/1901.09590.pdf
Semantic matching models,https://proceedings.neurips.cc/paper/2012/file/0a1bf96b7165e962e90cb14648c9462d-Paper.pdf,model_type_pdfs/0a1bf96b7165e962e90cb14648c9462d-Paper.pdf
Semantic matching models,https://arxiv.org/pdf/1506.00999,model_type_pdfs/1506.00999.pdf
Semantic matching models,https://proceedings.mlr.press/v70/liu17d/liu17d.pdf,model_type_pdfs/liu17d.pdf
Semantic matching models,https://arxiv.org/pdf/1412.6575,model_type_pdfs/1412.6575.pdf
Semantic matching models,https://proceedings.mlr.press/v48/trouillon16.pdf,model_type_pdfs/trouillon16.pdf
Semantic matching models,https://arxiv.org/pdf/1802.04868,model_type_pdfs/1802.04868.pdf
Semantic matching models,https://www.datasciencehub.net/system/files/ds-paper-620.pdf,model_type_pdfs/ds-paper-620.pdf
Semantic matching models,https://arxiv.org/pdf/1705.10744,model_type_pdfs/1705.10744.pdf
Semantic matching models,https://arxiv.org/pdf/1805.02408,model_type_pdfs/1805.02408.pdf
Semantic matching models,https://proceedings.mlr.press/v80/lacroix18a/lacroix18a.pdf,model_type_pdfs/lacroix18a.pdf
Semantic matching models,https://arxiv.org/pdf/1912.02686,model_type_pdfs/1912.02686.pdf
Semantic matching models,https://arxiv.org/pdf/1904.10281,model_type_pdfs/1904.10281.pdf
Semantic matching models,https://arxiv.org/pdf/1910.11583,model_type_pdfs/1910.11583.pdf
Semantic matching models,https://proceedings.neurips.cc/paper_files/paper/2013/file/b337e84de8752b27eda3a12363109e80-Paper.pdf,model_type_pdfs/b337e84de8752b27eda3a12363109e80-Paper.pdf
Semantic matching models,https://static.googleusercontent.com/media/research.google.com/es//pubs/archive/45634.pdf,model_type_pdfs/45634.pdf
Semantic matching models,https://arxiv.org/pdf/1603.07704,model_type_pdfs/1603.07704.pdf
Semantic matching models,https://arxiv.org/pdf/1808.04122,model_type_pdfs/1808.04122.pdf
Semantic matching models,https://arxiv.org/pdf/1703.06103,model_type_pdfs/1703.06103.pdf
Semantic matching models,https://arxiv.org/pdf/1911.03082,model_type_pdfs/1911.03082.pdf
Semantic matching models,https://arxiv.org/pdf/1711.04071,model_type_pdfs/1711.04071.pdf
Semantic matching models,http://tcci.ccf.org.cn/conference/2019/papers/85.pdf,model_type_pdfs/85.pdf
Translation models,https://proceedings.neurips.cc/paper/2013/file/1cecc7a77928ca8133fa24680a88d2f9-Paper.pdf,model_type_pdfs/1cecc7a77928ca8133fa24680a88d2f9-Paper.pdf
Translation models,https://aclanthology.org/P15-1067.pdf,model_type_pdfs/P15-1067.pdf
Translation models,https://aclanthology.org/N16-1105.pdf,model_type_pdfs/N16-1105.pdf
Translation models,https://arxiv.org/pdf/1801.08641,model_type_pdfs/1801.08641.pdf
Translation models,https://arxiv.org/pdf/1606.08140,model_type_pdfs/1606.08140.pdf
Translation models,https://cdn.aaai.org/ocs/12887/12887-57589-1-PB.pdf,model_type_pdfs/12887-57589-1-PB.pdf
Translation models,https://waseda.repo.nii.ac.jp/record/29567/files/PACLIC_28_Fan.pdf,model_type_pdfs/PACLIC_28_Fan.pdf
Translation models,https://arxiv.org/pdf/1704.05908,model_type_pdfs/1704.05908.pdf
Translation models,https://www.ijcai.org/Proceedings/2018/0596.pdf,model_type_pdfs/0596.pdf
Translation models,https://arxiv.org/pdf/1904.12211,model_type_pdfs/1904.12211.pdf
Translation models,https://arxiv.org/pdf/1509.05490,model_type_pdfs/1509.05490.pdf
Translation models,https://arxiv.org/pdf/1902.10197,model_type_pdfs/1902.10197.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1709.04676,model_type_pdfs/1709.04676.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1708.04828,model_type_pdfs/1708.04828.pdf
Internal side information inside KGs,https://aclanthology.org/W18-3017.pdf,model_type_pdfs/W18-3017.pdf
Internal side information inside KGs,https://aclanthology.org/D15-1031.pdf,model_type_pdfs/D15-1031.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1609.07028,model_type_pdfs/1609.07028.pdf
Internal side information inside KGs,https://aclanthology.org/S18-2027.pdf,model_type_pdfs/S18-2027.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1809.01341,model_type_pdfs/1809.01341.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1903.05485,model_type_pdfs/1903.05485.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1802.00934,model_type_pdfs/1802.00934.pdf
Internal side information inside KGs,https://aclanthology.org/D14-1165.pdf,model_type_pdfs/D14-1165.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1508.02593,model_type_pdfs/1508.02593.pdf
Internal side information inside KGs,http://ecmlpkdd2017.ijs.si/papers/paperID314.pdf,model_type_pdfs/paperID314.pdf
Internal side information inside KGs,https://aclanthology.org/P17-2051.pdf,model_type_pdfs/P17-2051.pdf
Internal side information inside KGs,https://ora.ox.ac.uk/objects/uuid:3aea07b6-e7ad-4c9e-8170-0e6e0caecd32/download_file?safe_filename=Amador-Dominguez%2Bet%2Bal%2BAn%2Bontology-based%2Bdeep%2Blearning%2Bapproach.pdf&file_format=application%2Fpdf&type_of_work=Conference+item,model_type_pdfs/download_file.pdf
Internal side information inside KGs,https://aclanthology.org/P15-1125.pdf,model_type_pdfs/P15-1125.pdf
Internal side information inside KGs,https://aclanthology.org/P15-1009.pdf,model_type_pdfs/P15-1009.pdf
Internal side information inside KGs,http://www.shichuan.org/hin/time/2018.KDD%202018%20Hierarchical%20Taxonomy%20Aware%20Network%20Embedding.pdf,model_type_pdfs/2018.KDD%202018%20Hierarchical%20Taxonomy%20Aware%20Network%20Embedding.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1805.09547,model_type_pdfs/1805.09547.pdf
Internal side information inside KGs,https://aclanthology.org/P19-1431.pdf,model_type_pdfs/P19-1431.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1906.01195,model_type_pdfs/1906.01195.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1808.09040,model_type_pdfs/1808.09040.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1911.04910,model_type_pdfs/1911.04910.pdf
Internal side information inside KGs,https://aclanthology.org/D11-1049.pdf,model_type_pdfs/D11-1049.pdf
Internal side information inside KGs,https://aclanthology.org/D15-1173.pdf,model_type_pdfs/D15-1173.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1504.06662,model_type_pdfs/1504.06662.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1506.01094,model_type_pdfs/1506.01094.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1607.01426,model_type_pdfs/1607.01426.pdf
Internal side information inside KGs,http://proceedings.mlr.press/v77/jiang17a/jiang17a.pdf,model_type_pdfs/jiang17a.pdf
Internal side information inside KGs,https://aclanthology.org/W17-2608.pdf,model_type_pdfs/W17-2608.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1806.04523,model_type_pdfs/1806.04523.pdf
Internal side information inside KGs,https://kr2ml.github.io/2019/papers/KR2ML_2019_paper_31.pdf,model_type_pdfs/KR2ML_2019_paper_31.pdf
Internal side information inside KGs,https://aclanthology.org/P16-1136.pdf,model_type_pdfs/P16-1136.pdf
Internal side information inside KGs,https://link.springer.com/content/pdf/10.1007/s00521-018-3384-6.pdf,model_type_pdfs/s00521-018-3384-6.pdf
Internal side information inside KGs,https://aclanthology.org/S19-1016.pdf,model_type_pdfs/S19-1016.pdf
Internal side information inside KGs,https://arxiv.org/pdf/1909.11864,model_type_pdfs/1909.11864.pdf
External extra information outside KGs,http://proceedings.mlr.press/v115/kuzelka20a/kuzelka20a.pdf,model_type_pdfs/kuzelka20a.pdf
External extra information outside KGs,https://arxiv.org/pdf/2001.11850,model_type_pdfs/2001.11850.pdf
External extra information outside KGs,https://proceedings.neurips.cc/paper_files/paper/2017/file/0e55666a4ad822e0e34299df3591d979-Paper.pdf,model_type_pdfs/0e55666a4ad822e0e34299df3591d979-Paper.pdf
External extra information outside KGs,https://www.ijcai.org/Proceedings/2018/0297.pdf,model_type_pdfs/0297.pdf
External extra information outside KGs,http://aitp-conference.org/2017/slides/Tim_aitp.pdf,model_type_pdfs/Tim_aitp.pdf
External extra information outside KGs,https://arxiv.org/pdf/1807.08204,model_type_pdfs/1807.08204.pdf
External extra information outside KGs,https://proceedings.neurips.cc/paper_files/paper/2019/file/0c72cb7ee1512f800abe27823a792d03-Paper.pdf,model_type_pdfs/0c72cb7ee1512f800abe27823a792d03-Paper.pdf
External extra information outside KGs,https://www.ijcai.org/Proceedings/15/Papers/264.pdf,model_type_pdfs/264.pdf
External extra information outside KGs,https://www.cs.cmu.edu/~yww/papers/ijcai2016.pdf,model_type_pdfs/ijcai2016.pdf
External extra information outside KGs,https://arxiv.org/pdf/1903.03772,model_type_pdfs/1903.03772.pdf
External extra information outside KGs,https://pure.mpg.de/rest/items/item_2604439/component/file_3005339/content,model_type_pdfs/content.pdf
External extra information outside KGs,https://arxiv.org/pdf/1903.08948,model_type_pdfs/1903.08948.pdf
External extra information outside KGs,https://proceedings.neurips.cc/paper_files/paper/2019/file/13e5ebb0fa112fe1b31a1067962d74a7-Paper.pdf,model_type_pdfs/13e5ebb0fa112fe1b31a1067962d74a7-Paper.pdf
External extra information outside KGs,https://arxiv.org/pdf/2004.04412,model_type_pdfs/2004.04412.pdf
External extra information outside KGs,https://idus.us.es/bitstreams/83e039f5-da3d-4349-b48c-2aa4bb2bcfdf/download,model_type_pdfs/download.pdf
External extra information outside KGs,https://www.uni-mannheim.de/media/Einrichtungen/dws/DWS_News/Documents/meilicke18ruleemb.pdf,model_type_pdfs/meilicke18ruleemb.pdf
External extra information outside KGs,https://aclanthology.org/D15-1031.pdf,model_type_pdfs/D15-1031.pdf
External extra information outside KGs,https://aclanthology.org/N18-1068.pdf,model_type_pdfs/N18-1068.pdf
External extra information outside KGs,https://arxiv.org/pdf/1605.05416,model_type_pdfs/1605.05416.pdf
External extra information outside KGs,https://arxiv.org/pdf/1611.08661,model_type_pdfs/1611.08661.pdf
External extra information outside KGs,https://arxiv.org/pdf/1807.11761,model_type_pdfs/1807.11761.pdf
External extra information outside KGs,https://telecom-paris.hal.science/hal-02281147/file/SemaPro_2019_Analogy_inference_on_context_graphsJCM06092019.pdf,model_type_pdfs/SemaPro_2019_Analogy_inference_on_context_graphsJCM06092019.pdf
External extra information outside KGs,https://arxiv.org/pdf/1909.03193,model_type_pdfs/1909.03193.pdf
External extra information outside KGs,https://arxiv.org/pdf/2004.14781,model_type_pdfs/2004.14781.pdf
Other models,https://aclanthology.org/D16-1260.pdf,model_type_pdfs/D16-1260.pdf
Other models,https://aclanthology.org/D18-1225.pdf,model_type_pdfs/D18-1225.pdf
Other models,https://arxiv.org/pdf/1807.00228,model_type_pdfs/1807.00228.pdf
Other models,https://arxiv.org/pdf/1809.03202,model_type_pdfs/1809.03202.pdf
Other models,https://arxiv.org/pdf/2004.04926,model_type_pdfs/2004.04926.pdf
Other models,http://proceedings.mlr.press/v70/trivedi17a/trivedi17a.pdf,model_type_pdfs/trivedi17a.pdf
Other models,https://arxiv.org/pdf/1904.05530,model_type_pdfs/1904.05530.pdf
Other models,https://arxiv.org/pdf/2003.13432,model_type_pdfs/2003.13432.pdf
Other models,https://arxiv.org/pdf/2010.03526,model_type_pdfs/2010.03526.pdf
Other models,https://arxiv.org/pdf/1603.07704,model_type_pdfs/1603.07704.pdf
Other models,https://aclanthology.org/P16-1137.pdf,model_type_pdfs/P16-1137.pdf
Other models,https://aclanthology.org/K18-1014.pdf,model_type_pdfs/K18-1014.pdf
Other models,https://arxiv.org/pdf/1906.05317,model_type_pdfs/1906.05317.pdf
Other models,https://arxiv.org/pdf/2001.04170,model_type_pdfs/2001.04170.pdf
Other models,https://arxiv.org/pdf/1604.08642,model_type_pdfs/1604.08642.pdf
Other models,https://sonar.ch/documents/325395/files/rosso2020www_0.pdf,model_type_pdfs/rosso2020www_0.pdf